folder,album_artist,album,current_genre,tracks,new_genre,
Y:\(We Are) Performance\(We Are) Performance - (We Are) Performance (2007),(We Are) Performance,(We Are) Performance,Pop,12,,
Y:\And You Will Know Us by the Trail of Dead\And You Will Know Us by the Trail of Dead - Source Tags & Codes(2002),...And You Will Know Us By The Trail Of Dead,Source Tags & Codes,Indie Rock,13,,
Y:\13th Floor Elevators\13th Floor Elevators - 7th Heaven Music of the Spheres the Complete Singles Collection (Limited Edition) (2010),13th Floor Elevators,7th Heaven: Music of the Spheres the Complete Singles Collection (Limited Edition),,18,Rock,
Y:\13th Floor Elevators\13th Floor Elevators - Easter Everywhere (1967),13th Floor Elevators,Easter Everywhere,,20,Rock,
Y:\13th Floor Elevators\13th Floor Elevators - The Psychedelic Sounds (1966),13th Floor Elevators,The Psychedelic Sounds,,11,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - 2Pacalypse Now(1991),2Pac,2Pacalypse Now,,13,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - All Eyez On Me (2012 Reissue) (1996) (1),2Pac,All Eyez On Me (2012 Reissue) [CD 1],,27,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - Me Against The World(1995),2Pac,Me Against The World,,15,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - R U Still Down(1997),2Pac,R U Still Down [CD 2],,13,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\2Pac - Until The End Of Time(2001),2Pac,Until The End Of Time [CD 1],Blues,29,,
Y:\5th Dimension\5th Dimension - The Age Of Aquarius (1969),5th Dimension,The Age Of Aquarius,,13,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - 90 (1989),808 State,90,,8,Rock,
Y:\808 State\808 State - Don Solaris (1996),808 State,Don Solaris,,12,Electronic,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - Ex_el (US)(1991),808 State,Ex:el (US),,13,Electronic,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\808 State - Newbuild (1999),808 State,Newbuild,,7,Electronic,
Y:\A Place To Bury Strangers\A Place To Bury Strangers - Pinned (Brainwashing Machine Edition) (2018),A Place To Bury Strangers,Pinned (Brainwashing Machine Edition),Alternative,20,,
Y:\A Tribe Called Red\A Tribe Called Red - Nation II Nation (2013),A Tribe Called Red,Nation II Nation,,10,Hip Hop,
Y:\A Tribe Called Red\A Tribe Called Red - We Are The Halluci Nation (2016),A Tribe Called Red,We Are the Halluci Nation,Electronic,15,,
Y:\Abba\Abba - ABBA Gold (2010),Abba,ABBA Gold,,19,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Acid Lab - Odyssey LP(2014),Acid Lab,Odyssey LP,,13,Electronic,
Y:\Acid Mothers Temple & The Melting Paraiso UFO\Acid Mothers Temple & The Melting Paraiso UFO - Pink Lady Lemonade - You're from Inner Space (2011),Acid Mothers Temple & The Melting Paraiso UFO,Pink Lady Lemonade - You're from Inner Space,,4,Rock,
Y:\Acid Mothers Temple & The Melting Paraiso UFO\Acid Mothers Temple & The Melting Paraiso UFO - Son Of A Bitches Brew (2012),Acid Mothers Temple & The Melting Paraiso UFO,Son Of A Bitches Brew,Blues,7,,
Y:\Acid Mothers Temple\Acid Mothers Temple - the Melting Paraiso U.F.O. (1999),"Acid Mothers Temple, the Melting Paraiso U.F.O.",Wild Gals A Go-Go,,7,Rock,
Y:\Adam Ant\Adam Ant - Antmusic...The Very Best Of (2000),Adam Ant,Antmusic...The Very Best Of,,22,Rock,
Y:\Add N to (X)\Add N to (X) - Add Insult To Injury (2000),Add N to (X),Add Insult To Injury,Blues,12,,
Y:\Adelaide Van Wey\Adelaide Van Wey - Street Cries and Creole Songs of New Orleans (1956),Adelaide Van Wey,Street Cries and Creole Songs of New Orleans,Folk,19,,
Y:\African Head Charge\African Head Charge - My Life In A Hole In The Ground (1991),African Head Charge,My Life In A Hole In The Ground,,9,Rock,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Various Artists Afrika Bambaataa - Looking For The Perfect Beat 1980-1985(2001),Afrika Bambaata & The Soul Sonic Force,Looking For The Perfect Beat 1980-1985,,12,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa - Beware (1986),Afrika Bambaataa,Beware,,9,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa - Jazzin_(1996),Afrika Bambaataa,Jazzin',,14,Hip Hop,
Y:\Alan Vega\Alan Vega - Alan Vega (1987)\Afrika Bambaataa Soul Sonic Force - Planet Rock(1986),"Afrika Bambaataa, Soul Sonic Force",Planet Rock,,7,Hip Hop,
Y:\#recycle\Releases\release_223278,AFX,2 es by AFX,,3,Electronic,
Y:\AFX\Analogue Bubblebath 4 (1994-08),AFX,Analogue Bubblebath 4,,5,Electronic,
Y:\AFX\Analord 08 (2005-05-09),AFX,Analord 08,,4,Electronic,
Y:\#recycle\Releases\release_223276,AFX,Analord 11,,3,,Deleted
Y:\AFX\London 03.06.17 [field day] (2017-07-20),AFX,London 03.06.17 [field day],Blues,17,,
Y:\AFX\orphaned deejay selek 2006–2008 (2017-07-20),AFX,orphaned deejay selek 2006–2008,Electronic,8,,
Y:\AFX\Orphans (2017-07-20),AFX,Orphans,Blues,4,,
Y:\#recycle\Releases\release_223280,AFX,Smojphace,,3,,Deleted
Y:\Al Green\Al Green - Let's Stay Together LP (1972),Al Green,Let's Stay Together LP,,9,,
Y:\Al Green\Al Green - The Definitive Greatest Hits (2007),Al Green,The Definitive Greatest Hits,,21,,
Y:\Compilations\Various Artists - Hard to Find 45s on CD - Volume 3 The Mid Fifties (1999),Al Martino,Hard to Find 45s on CD - Volume 3: The Mid Fifties,,20,,
Y:\Compilations\Various Artists - The Rough Guide To Australian Aboriginal Music (2008),Alan Maralung,The Rough Guide To Australian Aboriginal Music,,17,,
Y:\Alan Silvestri\Alan Silvestri - Back To The Future(1985),Alan Silvestri,Back To The Future,,18,,
Y:\Alan Silvestri\Alan Silvestri - Back To The Future Part II(1989),Alan Silvestri,Back To The Future Part II,,33,,
Y:\Alan Vega\Alan Vega - Alan Vega (1987),Alan Vega,Alan Vega,Blues,8,,
Y:\Albert Ayler\Albert Ayler - Ghosts (1988),Albert Ayler,Ghosts,,6,Jazz,
"Y:\Albert Ayler\Albert Ayler - Holy Ghost Rare & Unissued Recordings (1962–70) (10CD, Box-Set) (2004)",Albert Ayler,"Holy Ghost: Rare & Unissued Recordings (1962–70) (10CD, Box-Set) [CD 9]",,123,Jazz,
Y:\Albert Ayler\Albert Ayler - Love Cry (1991),Albert Ayler,Love Cry,Jazz,11,,
Y:\Albert Ayler\Albert Ayler - Music Is The Healing Force Of The Universe (2003),Albert Ayler,Music Is The Healing Force Of The Universe,,6,Jazz,
Y:\Albert Ayler\Albert Ayler - Spiritual Unity (1964),Albert Ayler,Spiritual Unity,,4,Jazz,
Y:\Albert Ayler\Albert Ayler - The Impulse Story (2006),Albert Ayler,The Impulse Story,,10,Jazz,
Y:\Albert Hammond Jr\Albert Hammond Jr. - Momentary Masters (2015),Albert Hammond Jr.,Momentary Masters,Blues,10,,
Y:\Albert Hammond Jr\Albert Hammond Jr. - Yours To Keep (2006),Albert Hammond Jr.,Yours To Keep,,12,Rock,
Y:\Albert Hammond Jr\Albert Hammond Jr. - їCуmo Te Llama (2008),Albert Hammond Jr.,їCуmo Te Llama?,,13,Rock,
Y:\Ivory Joe Hunter\Ivory Joe Hunter - Alberta Hunter (2010),Alberta Hunter,ABC of the Blues [52-CD Box Set]  [CD 17],,20,Blues,
Y:\Alex G\Alex G - Beach Music (2015),Alex G,Beach Music,,13,,
Y:\Ali Farka Toure\Ali Farka Toure - Niafunke (1999),Ali Farka Toure,Niafunke,,11,,
Y:\Ali Hassan Kuban\Ali Hassan Kuban - The Rough Guide to Ali Hassan Kubann (2002),Ali Hassan Kuban,The Rough Guide to Ali Hassan Kubann,,15,,
"Y:\Alice Coltrane\Alice Coltrane - A Monastic Trio (2004, Remaster - Japan) (1968)",Alice Coltrane,"A Monastic Trio (2004, Remaster - Japan)",Blues,6,,
Y:\Alice Coltrane\Alice Coltrane - Divine Songs (1987),Alice Coltrane,Divine Songs,,9,,
Y:\Alice Coltrane\Alice Coltrane - Journey In Satchidananda (1997),Alice Coltrane,Journey In Satchidananda,,5,Jazz,
Y:\Alice Coltrane\Alice Coltrane - Translinear Light (2004),Alice Coltrane,Translinear Light (cat #: Verve Records - B0002191-02),,11,,
"Y:\Alice Coltrane\Alice Coltrane - Turiya Sings (2015, Remaster) (1982)",Alice Coltrane,"Turiya Sings (2015, Remaster)",Blues,9,,
Y:\Alice Coltrane\Alice Coltrane - Universal Consciousness (1971),Alice Coltrane,Universal Consciousness,Blues,6,,
